corrDailyDust30,corrDailyPrecip30,corrDailyPDO,corrDailyMonthNoVolc
2.12066652511858e-10,4.96077105525832e-06,0.06,1
1.88002874353504e-10,4.69239903012507e-06,0.06,1
1.65209325859879e-10,5.90128195376897e-06,0.06,1
1.65314188109478e-10,4.51551459285503e-06,0.06,1
1.77252931445553e-10,3.27462440393071e-06,0.06,1
1.85897773245184e-10,4.02909386478972e-06,0.06,1
1.9953831232524e-10,4.32800026876915e-06,0.06,1
1.95621412733459e-10,3.26790474837011e-06,0.06,1
1.96972986112001e-10,2.26925005123416e-06,0.06,1
2.07672441314295e-10,1.31560794952297e-06,0.06,1
2.23978904091093e-10,4.49200000648676e-07,0.06,1
2.38374906023502e-10,-5.83378912641402e-08,0.06,1
2.41585830570232e-10,-5.83080553193445e-07,0.06,1
2.43027842799554e-10,-7.45108510389881e-07,0.06,1
2.46498437192236e-10,-5.76938703182809e-07,0.06,1
2.59593061713466e-10,-8.85570990648749e-07,0.06,1
2.45680042607893e-10,-5.23011287515625e-07,0.06,1
2.28880913031066e-10,-4.9863248142545e-08,0.06,1
2.15961049924853e-10,2.04644658026737e-07,0.06,1
2.04216476950229e-10,6.08262329355818e-07,0.06,1
1.80517505869616e-10,7.96022172749125e-07,0.06,1
1.55719414544038e-10,4.04897870775674e-06,0.06,1
1.35662663552411e-10,2.34975016454594e-06,0.06,1
1.21959654232141e-10,7.40633156768447e-07,0.06,1
1.10263564418226e-10,-1.67193489627251e-06,0.06,1
9.94437779922617e-11,-3.33236628098703e-06,0.06,1
9.21856479124928e-11,-4.87461771955663e-06,0.06,1
8.33853713309904e-11,-4.80917370053805e-06,0.06,1
7.97852591769344e-11,-3.87608453594538e-06,0.06,1
7.67507501834711e-11,-3.01929032274077e-06,0.06,1
7.69952432903977e-11,-3.74517313870694e-06,0.06,1
8.28561785307062e-11,-4.6879452415257e-06,0.58,2
9.52054085413216e-11,-5.53340274290411e-06,0.58,2
1.11425143387031e-10,-7.22277294597929e-06,0.58,2
1.15066689955637e-10,-7.4125176160467e-06,0.58,2
1.13651735871874e-10,-7.45879828222985e-06,0.58,2
9.9155852059166e-11,-8.09546574618921e-06,0.58,2
6.86425779059438e-11,-8.94084815557347e-06,0.58,2
4.69442620468146e-11,-8.84730454231518e-06,0.58,2
2.06028005323366e-11,-8.60632625598653e-06,0.58,2
-7.79245014271128e-12,-6.25365021042807e-06,0.58,2
-2.3525542065492e-11,-6.40495801800889e-06,0.58,2
-5.21464100618789e-11,-5.23689792070551e-06,0.58,2
-6.75839988913386e-11,4.82719403609263e-07,0.58,2
-8.17041318623148e-11,1.03744012803252e-07,0.58,2
-9.52451206959518e-11,-6.06143816858261e-07,0.58,2
-1.07151606736619e-10,-1.03129459626518e-06,0.58,2
-1.05301755737617e-10,-1.25173052145311e-06,0.58,2
-1.11665909158232e-10,-9.54251571290316e-07,0.58,2
-1.33408815468764e-10,5.64109652543699e-07,0.58,2
-1.61465783121332e-10,9.91389270706485e-07,0.58,2
-1.78245863541967e-10,1.00222785316333e-06,0.58,2
-1.55778843463953e-10,-2.31508485293824e-06,0.58,2
-1.0207182451818e-10,-2.88107577343612e-06,0.58,2
-4.15456885454959e-11,-3.2368718486451e-06,0.58,2
-1.89934971770484e-11,-3.54077631205571e-06,0.58,2
-8.09725262565502e-12,-5.18405767499025e-06,0.58,2
-1.42515762143626e-11,-5.2211203390671e-06,0.58,2
-3.61612288662954e-11,-5.12039040725527e-06,0.58,2
-6.12353703911905e-11,-6.02056901271675e-06,0.58,2
-7.49104088469957e-11,-4.74376111399796e-06,0.62,3
-8.29305433383546e-11,2.09251833401941e-08,0.62,3
-9.38599539000087e-11,4.92937326886873e-06,0.62,3
-1.09351900701648e-10,9.38582118169969e-06,0.62,3
-1.07612453609257e-10,9.93677973475985e-06,0.62,3
-1.28215285570103e-10,1.04700427762651e-05,0.62,3
-1.67075849164116e-10,1.0845109167408e-05,0.62,3
-1.83483236628099e-10,1.19103523532487e-05,0.62,3
-1.39972115317384e-10,1.32858760132766e-05,0.62,3
-6.91140039871561e-11,1.36812239797667e-05,0.62,3
8.22717212049799e-12,1.36401070486265e-05,0.62,3
4.43634882821148e-11,1.13590213299377e-05,0.62,3
7.72409256545539e-11,1.15862694458624e-05,0.62,3
1.21593888997977e-10,1.02107237941364e-05,0.62,3
1.5195486018868e-10,4.34980437216256e-06,0.62,3
1.74557086201606e-10,4.28421799975174e-06,0.62,3
1.98665369671513e-10,4.62754467630141e-06,0.62,3
2.03550065528826e-10,5.90117210996673e-06,0.62,3
1.86284961552171e-10,6.24495632942746e-06,0.62,3
1.82225595154243e-10,5.95176088697035e-06,0.62,3
2.87997518876318e-10,4.45961030887329e-06,0.62,3
4.05779037692614e-10,4.08551490896139e-06,0.62,3
4.80903191332084e-10,4.19844403347288e-06,0.62,3
4.8700974403449e-10,4.47494878714829e-06,0.62,3
4.36884301544382e-10,4.80607303693568e-06,0.62,3
3.66790172118937e-10,5.16715846987613e-06,0.62,3
3.36655224551317e-10,5.71576975801853e-06,0.62,3
3.28083422843651e-10,5.83852865771511e-06,0.62,3
3.22886428737818e-10,6.03656544036957e-06,0.62,3
3.26992929719372e-10,6.12156190116817e-06,0.62,3
3.30928894665323e-10,6.61615337429848e-06,0.62,3
3.23931389776338e-10,5.35108398387408e-06,0.78,4
3.13585528023502e-10,1.34659031191051e-06,0.78,4
3.25157585119059e-10,-3.19097967060021e-06,0.78,4
3.19314015356086e-10,-7.1626487467058e-06,0.78,4
2.80486502629427e-10,-7.15557450844155e-06,0.78,4
2.64927054227192e-10,-7.25451289990818e-06,0.78,4
2.5547871736031e-10,-7.24242109470991e-06,0.78,4
2.28315655482332e-10,-8.37885853875073e-06,0.78,4
1.4623458390768e-10,-9.464364615136e-06,0.78,4
4.25602003949024e-11,-9.66774975378476e-06,0.78,4
-6.12165051462101e-11,-9.38601448811058e-06,0.78,4
-6.08053215142641e-11,-9.05097995939934e-06,0.78,4
-7.03445325775516e-12,-8.54450582167553e-06,0.78,4
3.59382956759774e-11,-7.855501526091e-06,0.78,4
6.79287057525526e-11,-7.22336848155486e-06,0.78,4
6.12275634233454e-11,-6.99671863105997e-06,0.78,4
1.11994917250182e-11,-7.166841111653e-06,0.78,4
-4.75545610547074e-11,-8.07779064201388e-06,0.78,4
-7.6984477850864e-11,-8.23010044928517e-06,0.78,4
-9.13178357466861e-11,-8.31276736407273e-06,0.78,4
-2.04486963123197e-10,-7.8742042344183e-06,0.78,4
-3.31071662671929e-10,-6.96261394316972e-06,0.78,4
-4.01372325161077e-10,-5.92087983209342e-06,0.78,4
-4.16156976670002e-10,-4.40378568909491e-06,0.78,4
-3.95973334685142e-10,-3.44452011971069e-06,0.78,4
-3.69739271539129e-10,-3.32133816989181e-06,0.78,4
-3.44485056723319e-10,-3.4097748062455e-06,0.78,4
-3.28065022117937e-10,-3.26887074215647e-06,0.78,4
-3.12102797988302e-10,-3.21045532468778e-06,0.78,4
-3.10666803377365e-10,-3.15553117998821e-06,0.78,4
-3.15834281748279e-10,-3.23309438743147e-06,0.64,5
-3.03784698683482e-10,-3.73381469666016e-06,0.64,5
-2.75402152777245e-10,-3.96292566979941e-06,0.64,5
-2.80454342952094e-10,-3.96790494914881e-06,0.64,5
-2.69113889367752e-10,-3.77127191743368e-06,0.64,5
-2.3552483643737e-10,-3.56114751810386e-06,0.64,5
-1.9316076678852e-10,-2.95265769199536e-06,0.64,5
-1.4582328502091e-10,-2.28166012629238e-06,0.64,5
-9.17357705764734e-11,-2.57345106065092e-07,0.64,5
-4.55201418266445e-11,1.25229202394029e-06,0.64,5
-6.96424809316689e-12,1.85639165714535e-06,0.64,5
3.51068995477561e-11,2.3251598272278e-06,0.64,5
1.48067446215355e-11,2.71848121019948e-06,0.64,5
-7.41137507344316e-11,4.25519421017017e-06,0.64,5
-1.42829626587999e-10,5.32215655368385e-06,0.64,5
-1.63399020609233e-10,7.51983345302964e-06,0.64,5
-1.34930534975846e-10,8.63864808555261e-06,0.64,5
-7.27217886756186e-11,9.20039556134518e-06,0.64,5
-5.41097827997293e-12,9.59516854557762e-06,0.64,5
6.48435559076063e-11,1.00806013268189e-05,0.64,5
1.60871023410235e-10,1.03071258983186e-05,0.64,5
2.54151048772663e-10,1.03307275598563e-05,0.64,5
3.30047975590264e-10,9.72957859798221e-06,0.64,5
3.62663796761534e-10,8.98084584153902e-06,0.64,5
3.54561840623942e-10,7.82246505894363e-06,0.64,5
3.27347468372614e-10,7.21695605559806e-06,0.64,5
3.12801573987895e-10,7.48375845421707e-06,0.64,5
3.17843247485609e-10,7.84263514728537e-06,0.64,5
3.26347709608731e-10,8.24958869678215e-06,0.64,5
3.38462934121491e-10,8.96327554866699e-06,0.64,5
3.53550355088665e-10,1.03733461288743e-05,0.64,5
3.72901425036796e-10,1.14245193236605e-05,-0.72,6
3.8328601884076e-10,1.15404786989666e-05,-0.72,6
3.75351560357885e-10,1.17015139730375e-05,-0.72,6
3.79842619479088e-10,1.19164391422227e-05,-0.72,6
3.93621264533593e-10,1.19135663949857e-05,-0.72,6
3.93618628282975e-10,1.18329652310079e-05,-0.72,6
3.84060869373144e-10,1.14700741383474e-05,-0.72,6
3.77255194133424e-10,1.09400585744592e-05,-0.72,6
3.7447344630525e-10,8.82240240893488e-06,-0.72,6
3.95997685726039e-10,7.55658920643385e-06,-0.72,6
4.19815606927666e-10,7.25892857232707e-06,-0.72,6
4.22296391037898e-10,6.90714312940434e-06,-0.72,6
4.12400696599696e-10,6.70507092901584e-06,-0.72,6
4.01078685862799e-10,5.16754175351731e-06,-0.72,6
3.81697935925344e-10,3.87491951207442e-06,-0.72,6
3.34935495150074e-10,1.49918119131049e-06,-0.72,6
2.98701248893339e-10,5.91876223199699e-07,-0.72,6
2.67922253542221e-10,3.06014559732823e-07,-0.72,6
